E(MeV)  pendfb7/Si30:2
1e-11  25.9623071
1.02999e-11  25.5844668
1.06087e-11  25.2123271
1.09269e-11  24.8455171
1.12544e-11  24.4843551
1.1592e-11  24.1283288
1.19395e-11  23.7777554
1.22976e-11  23.4321854
1.26662e-11  23.0919112
1.30462e-11  22.7564523
1.34372e-11  22.4262237
1.38403e-11  22.1006409
1.42552e-11  21.7801117
1.46827e-11  21.4641456
1.51229e-11  21.153011
1.55765e-11  20.8462997
1.60434e-11  20.5443741
1.65246e-11  20.2467189
1.70199e-11  19.9536695
1.75304e-11  19.6648138
1.80559e-11  19.3803816
1.85975e-11  19.100031
1.9155e-11  18.8240096
1.97295e-11  18.5519462
2.03209e-11  18.2840677
2.09305e-11  18.0200123
2.15579e-11  17.7600843
2.22045e-11  17.5038504
2.28701e-11  17.251602
2.35561e-11  17.0029458
2.42622e-11  16.7581765
2.49899e-11  16.5169049
2.5739e-11  16.2793769
2.6511e-11  16.0452698
2.73057e-11  15.8147849
2.81247e-11  15.5876339
2.89678e-11  15.3639947
2.98367e-11  15.1435825
3.07311e-11  14.9266125
3.16528e-11  14.7127728
3.26017e-11  14.502256
3.35795e-11  14.2947895
3.45861e-11  14.0905545
3.56235e-11  13.8892757
3.66913e-11  13.6911482
3.77919e-11  13.4958848
3.89247e-11  13.3036879
4.00923e-11  13.1142679
4.12941e-11  12.9278349
4.25327e-11  12.7440967
4.38076e-11  12.5632605
4.51216e-11  12.3850495
4.64742e-11  12.209646
4.78681e-11  12.0368037
4.9303e-11  11.8666819
5.07818e-11  11.6990543
5.23041e-11  11.5340683
5.38729e-11  11.3715039
5.54878e-11  11.2115138
5.71521e-11  11.0538759
5.88653e-11  10.8987362
6.0631e-11  10.7458783
6.24484e-11  10.5954615
6.43215e-11  10.4472627
6.62496e-11  10.3014239
6.82368e-11  10.1577422
7.02822e-11  10.0163657
7.23903e-11  9.87708368
7.45603e-11  9.74003687
7.67967e-11  9.60502732
7.90987e-11  9.47219484
8.14712e-11  9.34134571
8.39134e-11  9.21260442
8.64304e-11  9.08579209
8.90212e-11  8.96103747
9.16913e-11  8.8381583
9.44399e-11  8.71727273
9.72725e-11  8.5982152
1.00188e-10  8.48109557
1.03193e-10  8.3657707
1.06287e-10  8.25229785
1.09475e-10  8.14056356
1.12756e-10  8.03067771
1.16139e-10  7.92245008
1.1962e-10  7.81603934
1.23208e-10  7.71124192
1.26901e-10  7.60819283
1.30707e-10  7.50673914
1.35196e-10  7.39280091
1.39839e-10  7.28096202
1.44641e-10  7.17119594
1.49608e-10  7.06345814
1.54746e-10  6.95771082
1.6006e-10  6.85394079
1.65557e-10  6.75209946
1.71243e-10  6.65216304
1.77123e-10  6.55412691
1.83206e-10  6.45792375
1.89498e-10  6.36354152
1.96005e-10  6.27096889
2.02737e-10  6.18014229
2.09699e-10  6.09107132
2.169e-10  6.00371469
2.24349e-10  5.91803742
2.32053e-10  5.83403105
2.40023e-10  5.7516468
2.48265e-10  5.67089164
2.56791e-10  5.59171517
2.6561e-10  5.51410102
2.74731e-10  5.43803448
2.84166e-10  5.36347897
2.93925e-10  5.29041816
3.04018e-10  5.21883737
3.14459e-10  5.14869696
3.25258e-10  5.07998844
3.36428e-10  5.01268579
3.47981e-10  4.94677214
3.59932e-10  4.88221657
3.72292e-10  4.81901274
3.85077e-10  4.75713033
3.98301e-10  4.69655245
4.1198e-10  4.63725555
4.26128e-10  4.57922724
4.40762e-10  4.52244467
4.55898e-10  4.46689154
4.71554e-10  4.41254644
4.87748e-10  4.35939065
5.04498e-10  4.30740766
5.21824e-10  4.25657693
5.39744e-10  4.20688586
5.5828e-10  4.15831252
5.77452e-10  4.11084262
5.97283e-10  4.06445625
6.17794e-10  4.01914017
6.41707e-10  3.96942485
6.66558e-10  3.92099345
6.92358e-10  3.87386891
7.1917e-10  3.82798325
7.47007e-10  3.78335528
7.75936e-10  3.73992188
8.0597e-10  3.69770185
8.37182e-10  3.65663188
8.69587e-10  3.61672983
9.03262e-10  3.57793528
9.38225e-10  3.54026335
9.74558e-10  3.50365703
1.01228e-09  3.4681292
1.051482e-09  3.43362497
1.092181e-09  3.40015653
1.134477e-09  3.36767041
1.180697e-09  3.33458057
1.231596e-09  3.30075414
1.28469e-09  3.26807898
1.340072e-09  3.23652696
1.397843e-09  3.20607013
1.458103e-09  3.17668071
1.520962e-09  3.14833113
1.58653e-09  3.12099399
1.654925e-09  3.09464208
1.733585e-09  3.0667554
1.815951e-09  3.04000315
1.902265e-09  3.01432938
1.992646e-09  2.98971871
2.087359e-09  2.96611775
2.186534e-09  2.94351077
2.300129e-09  2.9199273
2.419625e-09  2.89743269
2.54533e-09  2.87598456
2.677566e-09  2.85554127
2.828609e-09  2.83447775
2.98812e-09  2.81450155
3.156683e-09  2.79555039
3.334695e-09  2.77758855
3.537676e-09  2.75928799
3.753013e-09  2.74201743
3.998332e-09  2.7245923
4.259612e-09  2.70822799
4.538046e-09  2.69285412
4.855085e-09  2.67748868
5.194274e-09  2.66312167
5.580613e-09  2.6488815
5.995795e-09  2.63562171
6.469054e-09  2.62258144
7.009126e-09  2.6098507
7.594422e-09  2.5980979
8.263322e-09  2.58670469
9.029086e-09  2.57573394
9.90763e-09  2.5652363
1.0917737e-08  2.55525453
1.2081604e-08  2.54582284
